Position,Name,Type,Signal,f,AF0,AF1,AF2,AF3,AF4,AF5,AF6,AF7,AF8,AF9,AF10,AF11,AF12,AF13,AF14,AF15
42,PE14,I/O,SPI1_MISO,RF_MISO,,TIM1_CH4,TIM1_BKIN2,,,SPI1_MISO,,,LTDC_G7,,OCTOSPIM_P1_IO2,,FMC_D11/FMC_DA11,GFXTIM_LCKCAL,,EVENTOUT
43,PE15,I/O,SPI1_MOSI,RF_MOSI,,TIM1_BKIN,GFXTIM_LCKCAL,TIM1_CH4N,,SPI1_MOSI,,,LTDC_R2,,OCTOSPIM_P1_IO3,,FMC_D12/FMC_DA12,GFXTIM_FCKCAL,,EVENTOUT
44,PB10,I/O,I2C4_SCL,QWIIC_SCL,,TIM2_CH3,LPTIM3_CH1,I2C4_SCL,I2C2_SCL,SPI2_SCK,,USART3_TX,LPUART1_RX,TSC_SYNC,OCTOSPIM_P1_CLK,,COMP1_OUT,SAI1_SCK_A,,EVENTOUT
45,PB11,I/O,USART3_RX,GPS_TX_STM_RX,,TIM2_CH4,,I2C4_SDA,I2C2_SDA,SPI2_RDY,,USART3_RX,LPUART1_TX,,OCTOSPIM_P1_NCS,,COMP2_OUT,,,EVENTOUT
46,VLXSMPS,Power,,,,,,,,,,,,,,,,,,
47,VDDSMPS,Power,,,,,,,,,,,,,,,,,,
48,VSSSMPS,Power,,,,,,,,,,,,,,,,,,
49,VDD11,Power,,,,,,,,,,,,,,,,,,
50,VSS,Power,,,,,,,,,,,,,,,,,,
51,VDD,Power,,,,,,,,,,,,,,,,,,
52,PB13,I/O,SPI2_SCK,MBUS_SCK,,TIM1_CH1N,LPTIM3_IN1,,I2C2_SCL,SPI2_SCK,MDF1_CKI1,USART3_CTS,LPUART1_CTS,TSC_G1_IO2,,,,SAI2_SCK_A,TIM15_CH1N,EVENTOUT
53,PB14,I/O,SPI2_MISO,MBUS_MISO,,TIM1_CH2N,LPTIM3_ETR,TIM8_CH2N,I2C2_SDA,SPI2_MISO,MDF1_SDI2,USART3_DE/USART3_RTS,,TSC_G1_IO3,,,SDMMC2_D0,SAI2_MCLK_A,TIM15_CH1,EVENTOUT
