"Reference","Value","Footprint","Description","Q_SUPPLIER","Q_SUPPLIER_PN","MF","MP","LCSC"
"J5","microSD","PCM_SparkFun-Connector:microSD_External_Pin","Micro SD socket External Pin","LCSC","C20619272","CUI","MSD-1-A","C20619272"
"J6","Conn_01x08","PCM_SparkFun-Connector:1x08_P2.54mm_Socket_Vertical_SMD_Pin1RightDown","8 pin SMD female header","MOUSER","640-BG125-8A1144ND","Global Connector Technology"," BG125-08-A-1-1-0440-N-D","C6131506"
"J7","Qwiic_RA","PCM_SparkFun-Connector:JST_1x04_P1.0mm_Horizontal_SMD","4 pin JST 1mm polarized connector for I2C","LCSC","C160404","JST","SM04B-SRSS-TB","C160404"
"J8","Qwiic_RA","PCM_SparkFun-Connector:JST_1x04_P1.0mm_Horizontal_SMD","4 pin JST 1mm polarized connector for I2C","LCSC","C160404","JST","SM04B-SRSS-TB","C160404"
"J9","89898-308ALF","89898-308ALF:AMPHENOL_89898-308ALF","AMPHENOL ICC 89898-308ALF Socket strip 2x8p","LCSC","C5417482","FCI","89898-308ALF","C5417482"
"J10","Conn_01x08","PCM_SparkFun-Connector:1x08_P2.54mm_Socket_Vertical_SMD_Pin1RightDown","8 pin SMD female header","MOUSER","640-BG125-8A1144ND","Global Connector Technology"," BG125-08-A-1-1-0440-N-D","C6131506"
"L1","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","2.2 uH,  Power Inductor Case:2.5Mm X 2Mm X 1.2Mm 1008 case (2520 metric)","LCSC","C237482","Murata Electronics","DFE252012PD-2R2M=P2","C237482"
"L2","DFE252012PD-2R2M=P2","DFE252012PD-2R2M_P2:INDC2520X120N","2.2 uH,  Power Inductor Case:2.5Mm X 2Mm X 1.2Mm 1008 case (2520 metric)","LCSC","C237482","Murata Electronics","DFE252012PD-2R2M=P2","C237482"
"MK1","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
"MK2","IM69D129FV01","Sensor_Audio:Knowles_LGA-5_3.5x2.65mm","Digital MEMS Microphone, LGA-5","MOUSER","726-IM69D129FV01XTMA"," Infineon","IM69D129FV01XTMA1","C43314439"
